lambda,w_l,mses4_train,mses4
0.42,"[[150.72756252304168], [16.719388053918127], [-90.51288771608834], [275.20981786899176], [184.9843990432224], [-3.0856717017798725], [-48.963204659278176], [-143.32093663217623], [119.54970429286544], [300.8358457614791], [135.12732563527703], [52.1601176406963], [67.51530911276033], [37.678260640726585], [12.329676794445938], [-29.28625472651104], [8.71966832142528], [39.71864953385885], [-19.235408686699245], [35.369230918965485], [66.83812460215232], [-3.74572109106346], [53.934176347990274], [-34.99886482367492], [-68.38622275878535], [16.608782168097196], [4.73255141331048], [49.15834762511764], [30.92081356159835], [12.68273842626252], [43.49176171294433], [34.17959882624864], [-0.7639771905025247], [55.64336425783103], [5.780883151340865], [27.546014809589217], [-22.251312377499122], [57.57264950000381], [-20.40675153676947], [0.4288546671460449], [-26.05112080117356], [9.534312922657175], [-9.242531453634507], [51.3561299419174], [-33.432261453748396], [-35.361753420684664], [15.614814597266625], [-6.9061602899753165], [7.167277468956806], [-7.2482325539352965], [-5.126775779047984], [58.81101576723166], [-41.795981773296894], [-2.318367041096507], [10.220450851041512], [31.297387637617213], [-16.5862022215441], [17.470511476605505], [11.473690026517453], [-28.939176472168487], [36.833221273731766], [-16.052091665829717], [-24.925351738780734], [49.42957477226822], [25.030659632071202]]",2852.292611,3095.38622
0.43,"[[150.71911219301933], [17.09018577944446], [-89.20168974353713], [273.1338084314072], [183.902203509686], [-2.5447801456275965], [-48.01206104837457], [-142.63032331775634], [119.11381898407824], [298.63488812567596], [134.31944675554175], [51.48146185887073], [67.13182742522], [37.39290690966678], [12.23962644735306], [-29.00145614819746], [8.802676364901686], [39.21561965570451], [-19.499859428357297], [35.15408653452423], [66.29063392630056], [-3.432167296327413], [53.4286903174434], [-34.76389268908844], [-67.81964927238849], [15.952450476221513], [4.382991333027977], [48.765583979176384], [30.728196639176822], [12.766401705291818], [43.199732058318816], [33.57178790771463], [-0.87623066072404], [55.176416448043774], [5.559093942071125], [27.27403601514054], [-22.046453722233377], [56.95089531019755], [-20.2176991671991], [0.038580632370868895], [-25.6584218738441], [9.68008451244545], [-9.175142295710183], [51.42842257269788], [-33.20644995691233], [-35.38720917675859], [15.063398968815504], [-7.122971402044143], [7.078319904228268], [-6.844376881671468], [-5.3374290702851255], [58.26091482039169], [-41.13170387042322], [-2.0191102416391526], [10.153439614014081], [31.138946776979843], [-16.549090404044836], [16.44287971886672], [11.139303231326135], [-28.73996494507286], [36.81929097713693], [-16.236383621534728], [-24.454900276453188], [49.05918810360275], [24.739852015018215]]",2860.584014,3102.761242
0.44,"[[150.70870232351763], [17.069188896050317], [-87.41370129927382], [270.6341516143455], [182.143222127774], [-2.0007703242078168], [-46.72432952207057], [-141.89917788028947], [118.71335172159701], [295.4957195164779], [134.37025400787095], [50.85879323035009], [67.36777693963353], [37.93002164073974], [12.251368559415159], [-28.398510884546543], [8.406934318103925], [38.82808177807848], [-18.935021449003404], [35.27134930239486], [65.44405706453975], [-3.5747669338827883], [53.19326179910011], [-34.46175665153549], [-67.07263135890294], [15.438433145255019], [4.374130358367394], [48.15295469439529], [30.604912111335835], [12.430908530241103], [42.362856578760194], [33.403147286303685], [-0.5992596270898479], [54.330936064692246], [5.772969227791714], [27.193195829142983], [-21.703558074082224], [56.40915807726953], [-20.64203543860802], [-0.6713093575798095], [-25.87204086251834], [9.68315745858047], [-8.902685120184188], [51.24882455685514], [-32.88414206335866], [-35.29210428843782], [15.199273028929646], [-7.4435296408374745], [6.956825314660508], [-6.245169914049337], [-5.159752226743944], [57.55452564142075], [-40.53056072724287], [-2.086794508702107], [10.208780110700843], [31.135454494039546], [-16.497210901936715], [15.477354069285045], [10.975423449389297], [-28.249642623053365], [36.34710772595232], [-16.420907941594244], [-24.02073634448967], [48.821516074459154], [24.83158640572305]]",2870.57693,3111.383579
0.45,"[[150.72054890611705], [17.26005906461436], [-86.02515669592482], [268.50873380245736], [180.8549212325161], [-1.4648497819265802], [-45.694703713097205], [-141.20968449260096], [118.30646765290228], [293.04526517364883], [133.9049016887204], [50.204266592034855], [67.28199530365212], [38.00219436321714], [12.158004830963911], [-28.03534746774292], [8.365965102097205], [38.376653463079826], [-18.906378731664486], [35.226393523079246], [64.78587310024554], [-3.4347136647497467], [52.81639713240827], [-34.19352967444633], [-66.4589392462938], [14.86884558292655], [4.097043882121389], [47.68962739891052], [30.461606916252055], [12.365065609172596], [41.876946130314], [32.986053570183365], [-0.5442374197274825], [53.76291505080347], [5.7184277197452], [27.010773558897544], [-21.445343922633374], [55.8780558764623], [-20.675475496014077], [-1.2011958214749678], [-25.72405174065264], [9.81089448533668], [-8.727931848999662], [51.28758862530861], [-32.57879492364645], [-35.27257364855429], [14.911161389937796], [-7.725248572713096], [6.895583011553728], [-5.7312926795477175], [-5.287620776576105], [56.92394629850931], [-39.88794933962163], [-1.8999796155142283], [10.227032698514238], [31.00588498176598], [-16.472802918805264], [14.425654062225764], [10.72184679556393], [-27.994483028169014], [36.1499145764692], [-16.643170303858856], [-23.516252512631166], [48.54370712202152], [24.71317766657644]]",2879.272176,3119.012312
0.46,"[[150.69396872873853], [17.40886784854341], [-84.46607487456188], [266.2394704062319], [179.41716543924676], [-0.9782984610111143], [-44.598778603378776], [-140.50557504703178], [117.89266863843379], [290.38675242123657], [133.6099186164993], [49.60129557899759], [67.16796290860972], [38.13684734356325], [12.165807351315392], [-27.560174254398284], [8.093719880441084], [37.996890126245184], [-18.615676262988007], [35.19556616222639], [64.09246999310876], [-3.4232406376887217], [52.464055486303], [-33.96699244405158], [-65.83799135723011], [14.358929167928771], [4.048926175764365], [47.18381284058331], [30.291223540906003], [12.19020520189749], [41.28541391072469], [32.64920136433592], [-0.4684762055371025], [53.08595335590943], [5.748694076493871], [26.828458881525794], [-21.184155103810163], [55.306580400170844], [-20.854781326237383], [-1.6807262865416026], [-25.700949952128507], [9.806825765786638], [-8.570958413864647], [51.12895575489163], [-32.37748440087313], [-35.21090681856699], [14.816224981544396], [-7.92498035347258], [6.762949637843562], [-5.301128110871588], [-5.175856528372345], [56.359596360908036], [-39.353572917473805], [-1.8961570735317188], [10.187914489136393], [30.968713391097836], [-16.399688153447443], [13.65303132410887], [10.514556766065901], [-27.59162232343719], [35.85968981134293], [-16.76711678279532], [-23.18838150003148], [48.25170535426234], [24.66855707123673]]",2888.582647,3127.342726
0.47,"[[150.68890659338274], [17.589935697563597], [-83.06288834898112], [264.1019753254326], [178.1153770686335], [-0.4916783457039017], [-43.58369154881528], [-139.8227641140244], [117.49748613929208], [287.9605858333916], [133.24883494652596], [49.006896550129795], [67.05336264576702], [38.23394596166073], [12.114553673968565], [-27.16921952546853], [7.9147376914482575], [37.622192049559594], [-18.42438763567363], [35.165391486994785], [63.43366892834646], [-3.3487908290497934], [52.10604903486417], [-33.757145724202175], [-65.27548192083688], [13.883390104883663], [3.925220273467417], [46.714374187898514], [30.127699578996573], [12.076622358575502], [40.77989149234209], [32.29808526153189], [-0.41362603416719196], [52.483065353876476], [5.733506386519405], [26.642058886280303], [-20.9455834975388], [54.77361487178137], [-20.959074464934794], [-2.115122138078633], [-25.64029472858219], [9.84500821717267], [-8.423245264552174], [51.07492855168403], [-32.15287476968371], [-35.15332525906747], [14.661096403080343], [-8.10417441917295], [6.66973410485334], [-4.853402248762831], [-5.1663313381113625], [55.79570012870412], [-38.83219750844009], [-1.8469167253593874], [10.15846725429809], [30.875798185536656], [-16.347164515975905], [12.850319952215285], [10.303700381429445], [-27.265976949107376], [35.62546711656011], [-16.926427211458037], [-22.844036493195645], [47.988698615993606], [24.608918353446146]]",2897.350846,3135.213191
0.48,"[[150.66888315213762], [17.743173691412053], [-81.7540373145753], [262.13661834259216], [176.9107878163344], [0.03148723317238411], [-42.5871078485156], [-139.18813215530162], [117.12126271528105], [285.6787279131641], [132.786563053161], [48.389843747343185], [66.93054194302645], [38.28432272698153], [12.06113034477419], [-26.796213383937793], [7.830928636871742], [37.1678174084114], [-18.427215376954475], [35.07967092523603], [62.79892009520166], [-3.205087870260857], [51.77736179308416], [-33.41726920499138], [-64.62486006701491], [13.411460881717636], [3.6567533547601383], [46.284247269404496], [29.988524774710783], [11.987352414206468], [40.26427552063543], [31.909937010096375], [-0.3675523448946344], [52.049263351632845], [5.624138104083519], [26.396175194669187], [-20.748645806285097], [54.31123778808822], [-20.948984618455114], [-2.600886104247857], [-25.431046331678818], [9.942200957699512], [-8.242978546702908], [51.07403222335027], [-31.85730513261345], [-35.149082497383255], [14.47531530320624], [-8.466772901342567], [6.5865834884158065], [-4.414291291497384], [-5.246527428120514], [55.22923024852034], [-38.2211439070983], [-1.6702163596435018], [10.17723466116633], [30.786048788754552], [-16.306906223756506], [11.875467794546523], [10.060676363152368], [-26.972063857552904], [35.50645107274929], [-17.02797480676659], [-22.42551125142908], [47.65546149120849], [24.448238279082265]]",2905.845152,3142.454455
0.49,"[[150.6728094677903], [17.90211946516691], [-80.32638079635832], [259.9716533254397], [175.54998715085196], [0.44090921895240276], [-41.61666319352783], [-138.4770580934981], [116.69913862288756], [283.1705282373743], [132.46975045367432], [47.81854116572399], [66.78191425838988], [38.37411524670173], [12.021965970085207], [-26.393810736885936], [7.605403211578258], [36.869201726192074], [-18.104934151650003], [35.09794056559846], [62.16528548754166], [-3.212844654544659], [51.403029885361015], [-33.30481870349623], [-64.13022588089649], [12.907610715333588], [3.6505135152435173], [45.80357027992606], [29.824179960114716], [11.865478729490151], [39.78696165461152], [31.58592927921761], [-0.3154349081520185], [51.32763341257077], [5.703288391868029], [26.278202213127535], [-20.451427069164147], [53.763796761716804], [-21.1400107673447], [-3.0113882697417766], [-25.470378033430908], [9.93752549777506], [-8.106219879355873], [50.92547615366187], [-31.69994935424748], [-35.057922164547364], [14.309274578039503], [-8.517379716406605], [6.496014619870027], [-3.998647346354247], [-5.160942677152901], [54.682755151345454], [-37.76512180925248], [-1.7091898505086576], [10.117708356356356], [30.703007498715376], [-16.234128290090634], [11.241342677822963], [9.881911837637443], [-26.65517487453418], [35.14055785247964], [-17.228768127452373], [-22.104627952715354], [47.45262579051808], [24.47192485785354]]",2914.937724,3151.095241
0.5,"[[150.66382596158928], [18.05370996749493], [-79.05414450474296], [258.0392164066337], [174.348651016259], [0.8962430258147072], [-40.688470861114745], [-137.82332244472687], [116.30797933109542], [280.90433982965953], [132.00715105040055], [47.20783028795227], [66.60515248208378], [38.390942167696565], [11.937540529023357], [-26.05728589313087], [7.515083027582003], [36.484993350534424], [-18.03031153854306], [35.061662018508834], [61.564658125586256], [-3.1279810740789564], [51.04466171673509], [-33.0752853978939], [-63.57645905416597], [12.418489296889629], [3.4525656724345826], [45.36793209762328], [29.684146088705575], [11.795929920561647], [39.33731062460094], [31.206124187288598], [-0.29154414659462713], [50.8142315715225], [5.659170336919117], [26.090247101239164], [-20.19957560415194], [53.30975076188524], [-21.189749843100305], [-3.4717133349739906], [-25.32928033798515], [9.999156155508647], [-7.941384417399493], [50.86980434706919], [-31.464229140415732], [-35.027514648729834], [14.077351742251203], [-8.750392498133692], [6.435374668408511], [-3.5797219135476994], [-5.226163556710568], [54.12820707082934], [-37.22959578162601], [-1.6103255239710472], [10.100540902364424], [30.599092873873253], [-16.18976411858456], [10.405173540105276], [9.655558436614823], [-26.404524313601684], [34.908539123085006], [-17.38620233250984], [-21.70200665364948], [47.182733100404484], [24.385161176925063]]",2923.489386,3158.870959
0.51,"[[150.65641019256915], [18.19145234980409], [-77.7111735447216], [256.0115385188055], [173.07830437431116], [1.3214072638951453], [-39.741328786054176], [-137.16385867536135], [115.91484390818265], [278.56085593964116], [131.67205470344012], [46.66249614757138], [66.46322837727372], [38.46937553211395], [11.927342906514456], [-25.652428912239543], [7.305313464046862], [36.15620901719887], [-17.79651233347204], [35.03773702178164], [60.94793847829854], [-3.090191263970519], [50.7143618457124], [-32.87063476749519], [-63.02975672627497], [11.979173941762621], [3.3944130957668603], [44.92726596312946], [29.5311956088802], [11.670738070131833], [38.84032463924326], [30.892080889702754], [-0.23808128383078805], [50.23114087497972], [5.667960771186957], [25.91482043470735], [-19.966341032424566], [52.81406776941725], [-21.299953704955133], [-3.8576426042789254], [-25.288599286772374], [10.014795396616252], [-7.791959720269229], [50.75311225859211], [-31.274270065626293], [-34.95983950304028], [13.96396045475805], [-8.906711904726036], [6.336608296683667], [-3.1957742091818644], [-5.147506103044066], [53.61357578267293], [-36.74889319135364], [-1.5903883817140114], [10.072364507889485], [30.530888319096572], [-16.11158572654742], [9.742164261975576], [9.48130283774134], [-26.07610699576558], [34.65162771122272], [-17.50744843270305], [-21.40119970545107], [46.93495163738199], [24.34858881479754]]",2932.29072,3166.91064
0.52,"[[150.65268881929734], [18.362106348185677], [-76.54033966137878], [254.1554820772047], [171.95646782722721], [1.7321812389443851], [-38.898726366415026], [-136.51742554318747], [115.51522028621945], [276.4462796720911], [131.18122100332624], [46.093206937758964], [66.2511599952782], [38.43583781334951], [11.831501185900283], [-25.36560429967229], [7.22915749911503], [35.78942556270497], [-17.73969746257311], [34.97366022272941], [60.38822235330456], [-2.995727449658496], [50.349302352028616], [-32.68168438679875], [-62.53718457080409], [11.533519001190939], [3.212623725737947], [44.517870228999854], [29.378653804408636], [11.615908983634547], [38.4465332815062], [30.510080194521322], [-0.24489151047711039], [49.74576134324202], [5.603240324271752], [25.72488374014156], [-19.745299837353244], [52.356401010262715], [-21.32916163731397], [-4.249675709901394], [-25.139920439899857], [10.056426236084986], [-7.667540517701872], [50.69475454269461], [-31.0713859511211], [-34.92296224929724], [13.724838591911448], [-9.08101065296669], [6.272914158021748], [-2.824247504185805], [-5.223596946415704], [53.1109868130002], [-36.277383214802725], [-1.509134203802106], [10.026165913007084], [30.42354889154421], [-16.079644411377362], [8.993363892756141], [9.257263776878386], [-25.83924805931191], [34.45268601192156], [-17.646797508091783], [-21.055049173041713], [46.66679641520399], [24.247162112635742]]",2940.590775,3174.665957
0.53,"[[150.64425667035638], [18.482017986168916], [-75.30661227174492], [252.26300930773078], [170.77163648569683], [2.159200361612388], [-37.9952486902351], [-135.88369368766766], [115.1470984777536], [274.2611401288806], [130.80421316991627], [45.549104375630726], [66.09847293607534], [38.49715172199729], [11.795036570873558], [-24.992581097284955], [7.063588129684526], [35.476962132822045], [-17.568332913539884], [34.95709257343538], [59.79496046621588], [-2.928687949366612], [50.0365317540867], [-32.45068506824739], [-61.99615989716771], [11.138703460858446], [3.109616052494439], [44.102360111361975], [29.241117496180745], [11.527382075501906], [37.98443432922951], [30.213076840969045], [-0.18708633733786031], [49.242257892003785], [5.5917688206074345], [25.53853323540622], [-19.51806745309294], [51.93408977670326], [-21.38614464396282], [-4.613147030700613], [-25.066579242596685], [10.097669317221472], [-7.497343962823583], [50.621556115099686], [-30.858743738834146], [-34.859438612086805], [13.609368323578513], [-9.266200483806475], [6.202337296242588], [-2.442272892354535], [-5.185729824548602], [52.58983950976842], [-35.79453885043449], [-1.4692565367255197], [10.01662314168704], [30.32051388758186], [-15.991659649050623], [8.3289353173959], [9.091412465356164], [-25.561497184703168], [34.219895570644866], [-17.75960130521852], [-20.747915419360417], [46.427947751896184], [24.203480502693424]]",2949.061734,3182.331422
0.54,"[[150.63059284112026], [18.600623630613114], [-74.04110137529979], [250.33122365438695], [169.54711069270027], [2.546747228876175], [-37.108776828661966], [-135.23686986333223], [114.75727843960144], [272.0132579387386], [130.46737164351268], [45.023146285500964], [65.94232969507485], [38.56253807893163], [11.768175911614986], [-24.618830974375683], [6.862570631637592], [35.17505037760759], [-17.330029866148223], [34.94096410278163], [59.208452166928005], [-2.9114436708463045], [49.71379804919782], [-32.2716730149171], [-61.48864091581771], [10.727398864877577], [3.063231444377681], [43.67401600833764], [29.092691816907777], [11.409161096732062], [37.51810678151359], [29.917559287406764], [-0.13925503500434522], [48.67535061345465], [5.613822618613475], [25.37923304001954], [-19.280732305599987], [51.47293650169508], [-21.506098953922315], [-4.981863256892061], [-25.036889882174655], [10.098558728877917], [-7.3541096485303985], [50.485493166903616], [-30.68571514106811], [-34.78728322893456], [13.500410153986119], [-9.397213527651292], [6.114461577545923], [-2.084690129226151], [-5.113487429414642], [52.09693690387813], [-35.356338741082254], [-1.4758146587059187], [9.978030106263244], [30.248918302505555], [-15.91719787859989], [7.725215767870682], [8.924823767626176], [-25.2583564868213], [33.94337656201161], [-17.876352479057072], [-20.46612296408506], [46.194616935303564], [24.179894406528362]]",2957.772285,3190.513879
0.55,"[[150.62196434334055], [18.731586640909764], [-72.87548706836935], [248.48929377232906], [168.4072341671073], [2.9272088766517297], [-36.27736255458176], [-134.6037945088038], [114.37220397140928], [269.9120545641081], [130.07280163580182], [44.50627307995288], [65.76316602289887], [38.58751824986463], [11.714764546958698], [-24.292623377842606], [6.707988383446522], [34.8687218789947], [-17.16222611404645], [34.90640062644213], [58.64955746781414], [-2.8573230154220135], [49.38841620689006], [-32.09083699024952], [-61.0056598234153], [10.34336799921721], [2.974760684259869], [43.27089462891803], [28.94541415235984], [11.322632852999131], [37.10014663483325], [29.61159178918522], [-0.10968986788040552], [48.17134786818092], [5.598002425705332], [25.20601573982951], [-19.064811701570367], [51.03729526217749], [-21.57256600789069], [-5.318127407236066], [-24.962924847227367], [10.11251345585688], [-7.222081396492709], [50.3898262925246], [-30.502579268384864], [-34.718391999946014], [13.362088250729176], [-9.526385532723296], [6.042743559474], [-1.7370250146652564], [-5.09277787471942], [51.61601075079438], [-34.928794833976774], [-1.4555229427552872], [9.93928306567465], [30.154155201965633], [-15.85253432308306], [7.118113277886108], [8.752564331345235], [-24.98932991711826], [33.71285168197969], [-17.987161041235325], [-20.18823682014524], [45.95837906882728], [24.13033960461712]]",2966.155125,3198.389483
0.56,"[[150.61369802003577], [18.867985210892616], [-71.78260528685671], [246.76163210349242], [167.34560984691208], [3.3098316753964534], [-35.4829167344959], [-133.99226977863444], [114.00171590559165], [267.930506832951], [129.6019181238812], [43.97229386803661], [65.53271241315696], [38.54250830996416], [11.65553345222603], [-23.986096468645698], [6.616652155036882], [34.56306960593446], [-17.087353393261747], [34.85699840796449], [58.120630811180206], [-2.7810227149919715], [49.04642081835671], [-31.901638441857088], [-60.5334138544445], [9.95278801828313], [2.823707462949665], [42.88623535709624], [28.800469092747804], [11.272157207677045], [36.72400164221529], [29.28159203696554], [-0.09887394994659661], [47.72943632007759], [5.552040320767035], [25.02088763056461], [-18.85158140084832], [50.62910637796048], [-21.576521679226115], [-5.646747468012432], [-24.821927744578094], [10.151393618869857], [-7.08968416019659], [50.31273904320591], [-30.312276684930982], [-34.66770545146417], [13.162765056160698], [-9.685035950799337], [5.984627337407757], [-1.4101228341125984], [-5.110632764550644], [51.13364458408918], [-34.46867080217317], [-1.3824161882989627], [9.916350613948016], [30.03707256534312], [-15.774591838120203], [6.48987114626663], [8.578896238931025], [-24.771981078453543], [33.508823144073745], [-18.099591806481836], [-19.872703622145625], [45.72119752704228], [24.050671635294073]]",2974.279647,3205.959114
0.57,"[[150.60443569996968], [18.965279965922], [-70.61661939976321], [244.9570190474367], [166.1936579756875], [3.678363910899163], [-34.65011144993627], [-133.3709451522321], [113.62750911778339], [265.82094851252714], [129.24440017815763], [43.45545356071067], [65.3591655987544], [38.5975991616385], [11.599721030119166], [-23.654341187508184], [6.42768435392544], [34.27236936349875], [-16.87477421624768], [34.85105478052509], [57.55883926006465], [-2.761683232555511], [48.740389350142], [-31.71851817518942], [-60.04702198138618], [9.585043490683601], [2.7615603200797647], [42.47790175663379], [28.665558114057177], [11.166731752950284], [36.28503208288306], [29.001559220421804], [-0.0595653745445755], [47.228864769974415], [5.556840094259197], [24.852839995102062], [-18.62074762280715], [50.232111408327405], [-21.678206739206146], [-6.002413854352523], [-24.76926534965179], [10.14324573691018], [-6.938514223149232], [50.184939826517045], [-30.13428414135236], [-34.594631807980896], [13.065113408792556], [-9.822989026074042], [5.9194509184579776], [-1.0636923288488918], [-5.068013644361035], [50.653566882756984], [-34.06279452929316], [-1.3992842094391662], [9.878939934631404], [29.957476670103937], [-15.707860504682595], [5.915413553913434], [8.415442450591405], [-24.49293310248673], [33.23864935296249], [-18.198872656258025], [-19.607677707102], [45.492748540054286], [24.03262052117346]]",2982.741926,3213.897199
0.58,"[[150.59532111371877], [19.095492768992653], [-69.52220468842408], [243.2050733519128], [165.11371242549174], [4.017303776200454], [-33.885943238933386], [-132.7542867811404], [113.24503663182774], [263.83513090189126], [128.8537641591322], [42.97805546579994], [65.16330761504162], [38.59663482341447], [11.55123749978529], [-23.351892592991753], [6.282328655059775], [33.99131955343218], [-16.70638705068435], [34.81277909034372], [57.03838729920159], [-2.704085630767142], [48.43215564447908], [-31.551383951369544], [-59.59481651612837], [9.233781993250167], [2.704877054637612], [42.10583571740059], [28.52264108230058], [11.097621775401763], [35.90088673489352], [28.702109870996082], [-0.04992192822205673], [46.7435209179704], [5.539619217462067], [24.68362096998039], [-18.420654247760474], [49.8225137565372], [-21.735493392509422], [-6.289499166800341], [-24.713687980661447], [10.157102611594368], [-6.812662958877781], [50.08227485858875], [-29.981660898113386], [-34.52643731453386], [12.937142827209414], [-9.924575699549628], [5.848061695134852], [-0.7550385197326255], [-5.035591360192319], [50.221777704988206], [-33.68711644390883], [-1.3993766410485913], [9.823490893483907], [29.869249949700915], [-15.644825991462431], [5.3900758725087075], [8.251420778729932], [-24.241725662834508], [33.017739977690525], [-18.29506274720175], [-19.373063447024816], [45.2648580975238], [23.98826168480128]]",2990.929701,3221.796643
0.59,"[[150.5865714812772], [19.198246855978255], [-68.44138855832497], [241.50791631807877], [164.0429921861699], [4.371495891189471], [-33.10841903086965], [-132.1557488581432], [112.8812658725882], [261.86000756596275], [128.43833272886758], [42.46913369573309], [64.95456932815448], [38.59187933785612], [11.487250676162883], [-23.049317548731743], [6.143118103320816], [33.70782354913057], [-16.564873671612254], [34.7899137610496], [56.518232298130606], [-2.6594226527804645], [48.118518163887416], [-31.371932586580126], [-59.131052687577956], [8.865366744495867], [2.610336084877077], [41.72541287542753], [28.393278861840656], [11.024858551031759], [35.5126674543387], [28.40952126974012], [-0.027779442988017728], [46.29193056386737], [5.522683751295858], [24.51503877126481], [-18.196695134572952], [49.44406159791918], [-21.78837962988704], [-6.6213474869729465], [-24.61472940410571], [10.164365856430086], [-6.673172616978812], [49.97382558629139], [-29.808026258279458], [-34.46567247687531], [12.791265130841005], [-10.063671065735605], [5.792732017660808], [-0.4331899171923071], [-5.025986704757527], [49.75336550206024], [-33.274054723609645], [-1.38162479023754], [9.791302347970612], [29.772384879998164], [-15.57325241452723], [4.820694603574903], [8.088457976060981], [-24.004033555507718], [32.775803213355125], [-18.395767142332023], [-19.09289120711822], [45.04171864534839], [23.946979526537064]]",2999.130172,3229.541864
0.6,"[[150.5775982107092], [19.311999276017772], [-67.41536477505483], [239.8349314675527], [163.0039466743755], [4.690182282769928], [-32.38972228155729], [-131.55353879105044], [112.50319589982993], [259.9623718765335], [128.0490127145483], [42.00862564037784], [64.75848998113818], [38.5803633461894], [11.445128741269624], [-22.757796738663004], [6.01082963985186], [33.44196300265764], [-16.40361123803595], [34.75275989368142], [56.01032340045295], [-2.6163432748035342], [47.8147566019924], [-31.210839805159953], [-58.7029682009572], [8.548332977577074], [2.54016038402549], [41.36404927135086], [28.24951839231399], [10.946249453451447], [35.135668655750656], [28.124844350901352], [-0.0179272923478341], [45.84197269511713], [5.498192449619297], [24.344124793722553], [-18.014145852268456], [49.047673390290946], [-21.830622232429203], [-6.886363407690513], [-24.55098217471553], [10.175399012171766], [-6.553761108134866], [49.868806126631604], [-29.65565018421997], [-34.39795561942474], [12.675703583952169], [-10.167865607115395], [5.723636580671482], [-0.14914821428948674], [-4.992242144904355], [49.33623695894961], [-32.90655322057787], [-1.3698644140720044], [9.751980412222876], [29.680318956540265], [-15.505481321475909], [4.3302884326239175], [7.945663767086978], [-23.768788372261575], [32.56362749353231], [-18.48387634030158], [-18.860962793319477], [44.82847010708793], [23.904093576660866]]",3007.139057,3237.296769
0.61,"[[150.56976013114314], [19.512779445462453], [-66.38650992321418], [238.1332060151644], [162.02856618915325], [5.024527583183519], [-31.703009979615512], [-130.9826303341444], [112.09882488323227], [258.07988483971957], [127.56418496889222], [41.54409936403805], [64.6011415860097], [38.494329273122815], [11.412134103715186], [-22.513863417073313], [6.015752912666889], [33.02428774330992], [-16.452303805418698], [34.611418360120446], [55.55625843934432], [-2.503986595012959], [47.44273535580229], [-31.077621078172086], [-58.28788649891326], [8.026009750070195], [2.3135861649466567], [41.02985531391476], [28.099507620906973], [10.86140532038101], [34.82628070775215], [27.710738504404446], [-0.048847199205792884], [45.40767225761584], [5.3884985602136455], [24.20007422343653], [-17.869452576036227], [48.47337017878184], [-21.80005794340567], [-7.247934410400643], [-24.305038292327158], [10.226364861997085], [-6.539271648888584], [49.840440925855965], [-29.43971023949998], [-34.36536440705724], [12.311364006075626], [-10.283277165422609], [5.647247983914978], [0.17551535395767134], [-5.111458759540012], [48.91036336609074], [-32.38990612300368], [-1.122298110107695], [9.751762532583085], [29.6299107063757], [-15.520286952585232], [3.5517716582848333], [7.744162967726802], [-23.513972412326748], [32.48883069630061], [-18.641787865753027], [-18.43677734789486], [44.58645328458947], [23.730713019883645]]",3015.337706,3245.311011
0.62,"[[150.5590077820841], [19.52377367820949], [-65.40601367767971], [236.57480293977844], [160.97248026798795], [5.355661189414602], [-30.938456861894505], [-130.3663798368354], [111.77724005074674], [256.2329720901916], [127.19228769844075], [41.03783899847741], [64.31088501073103], [38.53173374006973], [11.308535206012452], [-22.201835759986675], [5.76484770105309], [32.91405538425803], [-16.146036418877202], [34.69366827724823], [55.006418087505615], [-2.5115692221030703], [47.198899042290186], [-30.871877060957278], [-57.8367796234747], [7.907828621577939], [2.350559544085611], [40.63798042294572], [27.97944286781201], [10.830876531017715], [34.41766503024118], [27.558979628550812], [0.006310197971460523], [45.00306967456403], [5.440248431858851], [23.993774550097207], [-17.609448340175756], [48.33378453947749], [-21.885058523147595], [-7.448362480097025], [-24.356338188073327], [10.194819751150511], [-6.290043558654849], [49.67261178868307], [-29.32311193475015], [-34.260966048098176], [12.405663828572138], [-10.401803995323505], [5.625000217176716], [0.44449354862678875], [-4.978818518514201], [48.45340956757088], [-32.14782443398078], [-1.3462995165932572], [9.676820529143006], [29.46098083599599], [-15.357226689434821], [3.3090889163824877], [7.643382299322815], [-23.334825459955486], [32.122229371175926], [-18.65736014824702], [-18.36695470059899], [44.39504200505002], [23.815042441271345]]",3023.179017,3252.654943
0.63,"[[150.54973374015256], [19.611119529779998], [-64.43595242643426], [234.9907004198894], [159.97342517380892], [5.647138894446106], [-30.259335922784317], [-129.79002228640138], [111.41045645298881], [254.41098651267262], [126.7918396387384], [40.59345253280244], [64.09457813814309], [38.50991363999483], [11.259492613256088], [-21.925866721537087], [5.62532586457174], [32.66678978568463], [-15.996333046808964], [34.64988005280014], [54.539721882569296], [-2.483939938471033], [46.90322750642625], [-30.726210229601165], [-57.42853867027697], [7.589227642437958], [2.2932729974996855], [40.28820482400359], [27.844647546000555], [10.76122623650863], [34.07704572478171], [27.302691501145055], [0.026527762054195367], [44.56997771518475], [5.4386811806126305], [23.84805876662215], [-17.408936566723696], [47.97063519205079], [-21.934474120805813], [-7.712886477041926], [-24.27692781445766], [10.182705850499072], [-6.183179241389687], [49.53596543482064], [-29.17442000398982], [-34.18103146577381], [12.277326404179005], [-10.481830697977768], [5.5675477165253895], [0.7081064779529336], [-4.9448068270582315], [48.04171969737115], [-31.795334618483587], [-1.3491279904081126], [9.630283298193659], [29.3697412448041], [-15.28450439399903], [2.8584407631638786], [7.5026194662162125], [-23.110269818638056], [31.89426618862694], [-18.730074098011706], [-18.140782296007433], [44.182150206124206], [23.76905443583954]]",3031.079766,3260.341909
