lambda,w_l,mses3_train,mses3
0.41000000000000003,"[[150.7339963718269], [16.528367840574067], [-92.1615503188539], [277.5650083244239], [186.4650114131385], [-3.6609989194412735], [-50.14460155107041], [-144.03559781925998], [119.97303455104455], [303.64741229627407], [135.46960475521092], [52.84798735152845], [67.56349077694516], [37.52653080849074], [12.34583843591469], [-29.76208638516534], [8.854647456301077], [40.21988719510131], [-19.372981068071834], [35.39337973148042], [67.57696436238037], [-3.8121224452414246], [54.312260164620646], [-35.28646372458149], [-69.07670844725219], [17.26089488679918], [4.963971457283439], [49.68148760939525], [31.07860104647427], [12.830904585702008], [44.108886215186686], [34.61470166316324], [-0.8404360255587251], [56.32194067259788], [5.795488380219702], [27.734371119085083], [-22.524659748815296], [58.1919032132365], [-20.28187875725048], [1.0529515167277348], [-26.1493720227374], [9.42324405496532], [-9.435685079027184], [51.40332842778517], [-33.74076435732875], [-35.38058304113739], [15.857044066103796], [-6.574508456614311], [7.273686018238016], [-7.792509825698939], [-5.098769997042117], [59.457517590744104], [-42.491280244833405], [-2.4976199439340334], [10.192574683763564], [31.350715333895245], [-16.614933316825326], [18.57970118587747], [11.73085094184585], [-29.29681910506515], [37.078968808592485], [-15.829446610182803], [-25.451742334421866], [49.73578174685342], [25.12500244560774]]",2842.97185451875,3087.3699467275565
0.42,"[[150.726913078185], [16.718729340858346], [-90.54331195418419], [275.20067379803436], [184.9995922218589], [-3.089779914852998], [-48.97618762268477], [-143.31483857394048], [119.55183022861638], [300.88356492955626], [135.11243443720073], [52.1759228948432], [67.51712075985985], [37.67704010808247], [12.313727104912351], [-29.298784357177997], [8.698557121582045], [39.74808811913829], [-19.217248598217914], [35.351158783153124], [66.84863864471717], [-3.727343262097591], [53.93339079991968], [-35.01027980924454], [-68.39970430251732], [16.644194867093237], [4.765103721388061], [49.160949162932354], [30.91672939095576], [12.690029070881103], [43.51283094412873], [34.207031052307045], [-0.75429156364478], [55.63939518909092], [5.7874517188668815], [27.55323669170472], [-22.250254749733436], [57.57650071796975], [-20.410254492083553], [0.4674404799069529], [-26.063726295904573], [9.510646274379837], [-9.259901331801291], [51.364285564598056], [-33.45079840622774], [-35.35260725014065], [15.640284135130484], [-6.865903723060564], [7.162360573833792], [-7.260137337442773], [-5.120633922558717], [58.809892506903346], [-41.825875292676066], [-2.3591272801303864], [10.198609336749357], [31.277483447833788], [-16.57904880131722], [17.516303479858703], [11.474002336783053], [-28.936382178672858], [36.83714617388544], [-16.034982987029355], [-24.96842528323585], [49.42928480301661], [25.02555477078325]]",2852.208388600858,3095.354694182062
0.43,"[[150.71964818128757], [16.903357973423184], [-88.96775432709674], [272.88713829898546], [183.5652886156904], [-2.536667642186811], [-47.839211138326654], [-142.60166679046293], [119.13435487691613], [298.18279155067466], [134.74884145130386], [51.51677524748383], [67.45347545301078], [37.81297597034184], [12.278673206526406], [-28.848571057507115], [8.541698760036533], [39.293434392552705], [-19.059861433278783], [35.31091525285145], [66.13618255938266], [-3.645502035724963], [53.55892882193868], [-34.74302123724457], [-67.74081932370005], [16.050503832947555], [4.577956477297954], [48.65137928258182], [30.756461194570747], [12.555699563670512], [42.93412673078859], [33.80822972756504], [-0.6750082474066501], [54.974947024410284], [5.778169548863407], [27.3713256014912], [-21.980162638862247], [56.98094831090964], [-20.53211968656941], [-0.09345638350742308], [-25.978342863178003], [9.59028776741999], [-9.086707049533427], [51.31843782976651], [-33.17244751990966], [-35.320794260101714], [15.431183129684207], [-7.141776532142545], [7.055474485695874], [-6.7460445968797185], [-5.137595861298521], [58.17792770374635], [-41.18427373004552], [-2.2342982040576373], [10.199314485380777], [31.201640448198383], [-16.539057363768915], [16.499784401128068], [11.225130551630686], [-28.58522559178877], [36.594393969190044], [-16.23068960603571], [-24.506124292982392], [49.12938430719341], [24.932209021682894]]",2861.37447350162,3103.3374241295423
0.44,"[[150.71221401447917], [17.08243112518599], [-87.43326249689477], [270.62252155462943], [182.1609198400107], [-2.0008998724043594], [-46.73251844891252], [-141.89600783388101], [118.7204602129877], [295.54260981453854], [134.3794437209489], [50.870219885942475], [67.37399002797241], [37.935254407720294], [12.240976993156355], [-28.410888509629935], [8.384482534504794], [38.854903644864365], [-18.90126829143575], [35.27237113328371], [65.43905632632394], [-3.566482118641268], [53.18881219273244], [-34.48421908415334], [-67.09927260429012], [15.478563266490394], [4.401588777923461], [48.15240282111647], [30.597760707547273], [12.427469360986054], [42.371990485060564], [33.417964758505605], [-0.6020851522731387], [54.32782435463136], [5.767730256222002], [27.188921783709603], [-21.714367919721113], [56.40408871984342], [-20.64773695460553], [-0.6311148061040214], [-25.89316075040037], [9.66275290608427], [-8.91616615035065], [51.26630407644782], [-32.90491769076241], [-35.285420007058654], [15.229188209517593], [-7.403087751223889], [6.952771605722843], [-6.2493763551826], [-5.150129156287892], [57.560977557310295], [-40.56508373353392], [-2.121921328568588], [10.195207939197704], [31.123409235808133], [-16.49534969480892], [15.527327639160351], [10.983886522330245], [-28.243028463102696], [36.351087016863794], [-16.417152848442925], [-24.063437672888686], [48.83580307773063], [24.84441197470516]]",2870.470904741029,3111.3162184862495
0.45,"[[150.70462195439208], [17.256119469483522], [-85.93830424543644], [268.4050435646833], [180.78537042838028], [-1.481758543522251], [-45.655011547007106], [-141.19778125613922], [118.31001243860611], [292.96068071655765], [134.00481201193128], [50.23594097168971], [67.27997770810762], [38.04472561107693], [12.2009099264325], [-27.985211552607492], [8.227265572671579], [38.43155629807705], [-18.741861114821063], [35.23527927131626], [64.75674494196464], [-3.490173172670117], [52.8229798307069], [-34.23343813944463], [-66.47433066561148], [14.927210844867384], [4.2351499820169005], [47.66366253258689], [30.440594255452815], [12.30492777414672], [41.825687045512026], [33.03592475647879], [-0.5350623690909333], [53.697300550434846], [5.756216827598092], [27.00627817006431], [-21.452845940080373], [55.844856674732355], [-20.757359931548333], [-1.1468076259226578], [-25.8081325846748], [9.728573646074608], [-8.74832695180152], [51.208360052117996], [-32.647484554340494], [-35.24673825406285], [15.03380204231949], [-7.650721935014038], [6.854014185919615], [-5.769332408138041], [-5.158659191993884], [56.958436183148855], [-39.96702556654835], [-2.0209037449295018], [10.186756432308375], [31.04299485229457], [-16.448280655265314], [14.596339244712258], [10.749942596703125], [-27.909481582097975], [36.10755700664424], [-16.594912168838746], [-23.639085113212072], [48.5482817358154], [24.76166467858943]]",2879.4984670106737,3119.289287464727
0.46,"[[150.69688251172425], [17.424587277047138], [-84.48142457718126], [266.23301764832445], [179.437585453361], [-0.9785663292767093], [-44.605644657622086], [-140.50690195792876], [117.90289053051323], [290.43479744244826], [133.6254738791673], [49.613631226866346], [67.17264157016251], [38.142179528067025], [12.158717758547787], [-27.571045314310993], [8.070358581218551], [38.02252717178118], [-18.581982317193166], [35.19941986447666], [64.08875679599541], [-3.416470669050007], [52.461371539557554], [-33.99027372734674], [-65.86530359711469], [14.395370960361545], [4.077869669535895], [47.184818005786134], [30.28493005346256], [12.18769681347916], [41.29452545875487], [32.661817745897515], [-0.4735170989649238], [53.08269088128129], [5.743707172620075], [26.823620039309837], [-21.195564297929558], [55.302269968209046], [-20.86123310709973], [-1.6417145814421075], [-25.723222324657513], [9.788235179768682], [-8.583224216257817], [51.14504262766356], [-32.399486036483864], [-35.204982773827915], [14.844576198520027], [-7.885494943696704], [6.758981318161903], [-5.305162946826197], [-5.16356885684429], [56.36973410940808], [-39.38892025029346], [-1.9302578207198318], [10.174381263297484], [30.960586141034103], [-16.39817295457812], [13.704425772996357], [10.52299074375494], [-27.58428728653253], [35.864097462629516], [-16.764464790402194], [-23.231894963192687], [48.26657710223385], [24.683516469693984]]",2888.4579355164747,3127.2549607541832
0.47000000000000003,"[[150.68900541176822], [17.587992711022196], [-83.06124067867023], [264.10484407613916], [178.11656620706736], [-0.4906835499029929], [-43.583421088565395], [-139.8232811712039], [117.49898475334437], [287.9628753224838], [133.2419172409182], [49.00299179494988], [67.05308503819977], [38.22835089156627], [12.114623238852499], [-27.16792292971329], [7.914031570775636], [37.627018104477884], [-18.421931024899443], [35.16459739040543], [63.43462237317388], [-3.3452754422272513], [52.10392795362094], [-33.75434890314219], [-65.27154159924284], [13.882046371145291], [3.9290488468112486], [46.715544669833065], [30.13073803943496], [12.075428215990566], [40.77785561061252], [32.29536930885495], [-0.41706017933949435], [52.483349498460136], [5.730274427483685], [26.641147973219816], [-20.942484057574354], [54.775421529787224], [-20.95959178139366], [-2.1169309739713076], [-25.63840335608152], [9.842180873406544], [-8.420880937134328], [51.07675354511777], [-32.16031590709215], [-35.16036927385242], [14.661105435470867], [-8.108160640793196], [6.667467524672316], [-4.856164397298498], [-5.165203303324144], [55.79433530240145], [-38.82967959680131], [-1.849089669850854], [10.158463230457372], [30.876357226853457], [-16.345320400934813], [12.849374988905714], [10.302740956589801], [-27.267159259416303], [35.6209680838031], [-16.926269842320018], [-22.84079306425206], [47.99046078313577], [24.60955973326889]]",2897.3500769723273,3135.2116794119543
0.48,"[[150.6809996660274], [17.746488106523174], [-81.67643729057289], [262.01900423036943], [176.82136626480604], [-0.017505383331553048], [-42.587390316147406], [-139.1468272908316], [117.09819536327674], [285.5429427568862], [132.85459361984752], [48.403732088750054], [66.92232123398024], [38.30392375999183], [12.068828497171731], [-26.775403475305506], [7.758518823101952], [37.24429144888903], [-18.261968464811233], [35.13063791034184], [62.793893035327464], [-3.2764932904490536], [51.750590496243916], [-33.52531197202105], [-64.69243187756805], [13.386310826174478], [3.788052255424586], [46.25553286704847], [29.97798972379537], [11.967800776816906], [40.275065169737005], [31.9363209618395], [-0.36533298678477477], [51.89866667140815], [5.715987241024665], [26.45904046934473], [-20.69356080249457], [54.26347238296342], [-21.05266211611578], [-2.573475350780607], [-25.553656891587835], [9.890816592285052], [-8.261309900475705], [51.00386274616032], [-31.92941811288306], [-35.113097099312164], [14.483022737851675], [-8.319416800499798], [6.579281483141691], [-4.421675688013144], [-5.163874106766531], [55.23173449991655], [-38.28829741568166], [-1.776589056487846], [10.139346961295413], [30.790468837387916], [-16.28999077922404], [12.029138787291398], [10.088919823459804], [-26.957822266879447], [35.37839854562066], [-17.08075201559312], [-22.464792922003994], [47.71971791758011], [24.539425306445892]]",2906.175650318616,3143.157988394309
0.49,"[[150.67287363606], [17.90022023533964], [-80.32576245112129], [259.97405524288763], [175.551087891059], [0.44154065894223127], [-41.61664528477272], [-138.4774465789823], [116.70043147548976], [283.1731329979634], [132.4639210856815], [47.81556962793567], [66.78128132487036], [38.369535623586046], [12.021517147409913], [-26.39307009472888], [7.604023210588065], [36.87366432151563], [-18.102322627226613], [35.097386696555446], [62.16613987880775], [-3.2100346172454763], [51.40130134842961], [-33.302834286137795], [-64.12739584454059], [12.907302532186215], [3.6543016285655523], [45.804486988485756], [29.826658054443534], [11.864517950043727], [39.785576809412085], [31.58442873028199], [-0.31800466975121644], [51.328066254001705], [5.700910044304317], [26.277456254593286], [-20.448745547570237], [53.765645373279156], [-21.140661258215598], [-3.0122963386701884], [-25.468970624728243], [9.934514500865697], [-8.104515051511738], [50.92671133456426], [-31.706281781627755], [-35.06335074353909], [14.30999500307718], [-8.519910333501088], [6.494244872255837], [-4.001074892613774], [-5.159862907835158], [54.681454814034026], [-37.76384173552517], [-1.7120205323914641], [10.11734471982081], [30.70306948568287], [-16.232428404736304], [11.241818034354068], [9.881269245348884], [-26.656011853711263], [35.13659183669184], [-17.228304801723034], [-22.10298703432713], [47.45414606416916], [24.472778434830452]]",2914.9354072250194,3151.0925296642667
0.5,"[[150.66463509052437], [18.049330556475816], [-79.0080235746338], [257.96862506566833], [174.30487875213612], [0.8869970220705705], [-40.670319901309554], [-137.81504376191336], [116.30561007269498], [280.85167669044665], [132.07028693023494], [47.238229868106345], [66.6308219908949], [38.42578112402267], [11.972856148458577], [-26.020528294102647], [7.450719960609334], [36.51450350524135], [-17.943192310718917], [35.06470614098205], [61.55095266277977], [-3.145814108710251], [51.05600342555375], [-33.08660828252573], [-63.575886591557996], [12.444218350988145], [3.5272697632473244], [45.36212466770672], [29.676717295094463], [11.76530568875562], [39.30884567761854], [31.239461892350675], [-0.2747696710808947], [50.77100335969255], [5.685103304617732], [26.096536337438554], [-20.207985529922038], [53.281219571294784], [-21.22379751833928], [-3.4342787380943687], [-25.384337596739297], [9.973616410855062], [-7.950492691594819], [50.84561421826851], [-31.490436806993685], [-35.011301191375], [14.141719278467576], [-8.710241923202716], [6.412191325004939], [-3.5937762030330784], [-5.153424610390065], [54.14304557072823], [-37.25544790514863], [-1.654715638341389], [10.092739762316569], [30.61429653086763], [-16.172856393681496], [10.485649080255827], [9.679545281721841], [-26.361474009704], [34.89572719338686], [-17.369293369045266], [-21.754539220628253], [47.19355420778383], [24.409315208003655]]",2923.6300924252755,3159.014035821972
0.51,"[[150.65629125626342], [18.19395545324481], [-77.7220838330437], [256.001407933264], [173.0819289041549], [1.3193781907072408], [-39.74758670717756], [-137.15952253555054], [115.91365513546697], [278.57689508482], [131.67405010205957], [46.67144602323893], [66.47173211607478], [38.473215428891265], [11.922997453952288], [-25.657404388394305], [7.298759942767782], [36.16622091913475], [-17.784750638645285], [35.03247390852019], [60.9479388038969], [-3.08375044219801], [50.71464036036339], [-32.8763457302946], [-63.03738659936557], [11.996308632011106], [3.406475297091136], [44.92817602863973], [29.52814291563481], [11.669910497848692], [38.844357089156965], [30.90120186805253], [-0.23534550559930478], [50.2269622263445], [5.668623764753034], [25.916405831287967], [-19.971224894789586], [52.809525267806826], [-21.30227058975121], [-3.840248971686603], [-25.299755241809525], [10.008436738898784], [-7.799232527391763], [50.76086247040017], [-31.281449936925423], [-34.957107116916305], [13.977919471765372], [-8.890970150230249], [6.332965478579795], [-3.199227194131849], [-5.144790195406408], [53.616080358108356], [-36.7623124600129], [-1.6040660261474864], [10.065789301663695], [30.524277131415044], [-16.11147868580236], [9.758991729790209], [9.483517108744268], [-26.07396481707036], [34.65596268582929], [-17.504057123379216], [-21.418677820653084], [46.937761870443055], [24.348759410415767]]",2932.2604439222723,3166.921324209751
0.52,"[[150.64784886414793], [18.334226457643986], [-76.46685881199387], [254.07116018101527], [171.8814680287397], [1.7391725875116484], [-38.847654712890346], [-136.5107859936084], [115.52449687799], [276.3471938497062], [131.27554342489984], [46.11495888314411], [66.30473879515485], [38.512357297618976], [11.872079477849713], [-25.303344082589273], [7.148272545030891], [35.828269582371455], [-17.627148122781016], [35.000581303646555], [60.35672243311942], [-3.023766022654087], [50.377156490829485], [-32.671776160309534], [-62.511405659252375], [11.5628725990936], [3.29147809528979], [44.50238298362013], [29.38091149323313], [11.578097676344989], [38.3916244168163], [30.56944123352065], [-0.19947076278718479], [49.6954542534657], [5.651524668276259], [25.737175577089157], [-19.738405290497006], [52.3499394899804], [-21.376271796420788], [-4.230979967434042], [-25.215224582374535], [10.039265126087226], [-7.650718591185425], [50.67272544319321], [-31.078921299968524], [-34.900915954027134], [13.818343468830285], [-9.06261517134945], [6.2564221109162785], [-2.8169063463386967], [-5.134169202451984], [53.10015525903224], [-36.28368765597512], [-1.5595173792498755], [10.036727131404781], [30.433129103534256], [-16.048481849488006], [9.060318488684572], [9.292966076524449], [-25.793250086923003], [34.41743750092125], [-17.632911992897494], [-21.094689650545497], [46.686598312795354], [24.29085973349195]]",2940.827193094149,3174.813291449613
0.53,"[[150.63931419030266], [18.470270462737503], [-75.24131341622285], [252.1766963864731], [170.70276289206973], [2.146844307308416], [-37.96976738134881], [-135.8687369897915], [115.1380710752584], [274.1610574189376], [130.87507562144984], [45.56851662738636], [66.13051273488094], [38.543691871028834], [11.820228398966332], [-24.958011173488785], [6.999368194774367], [35.50014000984781], [-17.470515337779073], [34.9689318234064], [59.776943510643385], [-2.965786743305914], [50.04349685168866], [-32.47264545451394], [-61.99747898125609], [11.143254222169677], [3.1818751674212935], [44.084498577967096], [29.235000623076036], [11.489649728732198], [37.950187161330405], [30.243982843519188], [-0.16690330851348034], [49.176016196193544], [5.633855971566444], [25.558943589456007], [-19.50946638455806], [51.90188197666996], [-21.445984361289355], [-4.607195545364395], [-25.130749550738273], [10.06636876362585], [-7.504930048576353], [50.58145266417952], [-30.88248131353616], [-34.84286485536226], [13.66276060251092], [-9.225662009227616], [6.182425355062094], [-2.446320797211839], [-5.121751922581004], [52.59488724709812], [-35.81887658662147], [-1.5205640278694856], [10.005765953298924], [30.340961695576276], [-15.984036695635254], [8.388204928912906], [9.107684853809003], [-25.51910499101242], [34.18027396145921], [-17.756152471427768], [-20.781914620101347], [46.43990181480232], [24.235387302606505]]",2949.3310647260196,3182.6889083755336
0.54,"[[150.63069309325073], [18.60220992374021], [-74.04445900172763], [250.31688580483967], [169.545115005693], [2.542834704346002], [-37.11320074757411], [-135.23327844379918], [114.75431846978434], [272.0170438170972], [130.47293316153718], [45.03187463694893], [65.94967311875328], [38.567673212975805], [11.767559324351733], [-24.62108635971761], [6.85214057238896], [35.1813569859896], [-17.314965260359763], [34.93743987356435], [59.208256995137205], [-2.9097417678864606], [49.713607168756404], [-32.27871457536619], [-61.495165468752006], [10.736838514355869], [3.0772970455503867], [43.674286377706395], [29.0903888377296], [11.404364927274584], [37.51960918224402], [29.92463904779816], [-0.13741866319030271], [48.66820850190518], [5.615664543297099], [25.381796347365004], [-19.28434631126909], [51.46481155939096], [-21.511583687598225], [-4.969574367021895], [-25.046336417238578], [10.089994462487574], [-7.3618419076858785], [50.48727554013255], [-30.691787926151363], [-34.78308155343302], [13.510959425154589], [-9.38056350130866], [6.110847983518683], [-2.087004296632994], [-5.10771134009963], [52.09991272778856], [-35.36722881227227], [-1.4867441697251786], [9.973099445870037], [30.247876287918338], [-15.918299722994934], [7.741321038155311], [8.927476650151124], [-25.251313693488896], [33.94457931486622], [-17.874053449621183], [-20.47974092878617], [46.19751902587036], [24.182133479169188]]",2957.772776986949,3190.5472153271157
0.55,"[[150.6219910474469], [18.73016304848059], [-72.87535071458804], [248.49064907220668], [168.40785846995772], [2.9275638479149], [-36.277261663769586], [-134.60431359934725], [114.37318424758062], [269.913779914267], [130.06938195178162], [44.50479530475903], [65.76279199542986], [38.584726629204795], [11.714177328667034], [-24.29226614902951], [6.706668558114512], [34.871476670763116], [-17.160595318988292], [34.906029627861884], [58.65033206370119], [-2.855563331928849], [49.387433855261385], [-32.08975841863027], [-61.004046141489624], [10.34304820322518], [2.977404564927105], [43.271519897291405], [28.94705553423009], [11.322056009358917], [37.099477073873715], [29.611230989105728], [-0.11080853662982526], [48.17161377669609], [5.596994352029816], [25.20580994771341], [-19.062982059709718], [51.03822290238834], [-21.573237647660875], [-5.318753498921338], [-24.961993308407514], [10.110370499380725], [-7.221425642083458], [50.39040889092172], [-30.506524152464067], [-34.721685135378245], [13.362745744287771], [-9.527742949251817], [6.041570755573232], [-1.7385153435754939], [-5.092204855284706], [51.614886208907066], [-34.928136438736175], [-1.4576356199851563], [9.938904106190606], [30.153967026578417], [-15.851414414729568], [7.118423436935616], [8.75215450690222], [-24.98966898632559], [33.71044732038243], [-17.986871859380823], [-20.18760076959759], [45.959304376094025], [24.130907903630472]]",2966.1530413677883,3198.3873177745268
0.56,"[[150.61321317360478], [18.854243977880394], [-71.73308501846202], [246.69695515300026], [167.29035798303212], [3.301431859710404], [-35.46128615968439], [-133.981746241159], [113.99461757462441], [267.8499570667115], [129.6646688819412], [43.98704784604746], [65.57039824340596], [38.59525078571972], [11.660178384390461], [-23.971261853302074], [6.563017946892692], [34.57008399823333], [-17.007489192988217], [34.87463401302134], [58.10285137919335], [-2.803186561002736], [49.06492400961264], [-31.905564775086674], [-60.52372269142599], [9.96134073203914], [2.8818859968962753], [42.875982064405115], [28.804980908107964], [11.24254899578152], [36.68939867234194], [29.303587972462147], [-0.08687950234187936], [47.68583537020209], [5.5778866425560265], [25.031051137664388], [-18.845309809846274], [50.62164356122112], [-21.63110687467556], [-5.6553316343115885], [-24.87772980124433], [10.127708266781731], [-7.08364973805816], [50.29105233258127], [-30.326395865546655], [-34.65878674152743], [13.217940886921536], [-9.667596504623008], [5.974481821402588], [-1.400435485154465], [-5.075375815597244], [51.1394790864575], [-34.50103059234669], [-1.4328520248123162], [9.903340892680722], [30.05932139777615], [-15.783512403345995], [6.5183483625697685], [8.581540649522601], [-24.733971931140765], [33.47795965958788], [-18.09484815351042], [-19.9049664795775], [45.72511954146621], [24.081536749920133]]",2974.472562592327,3206.208382247795
0.5700000000000001,"[[150.60436426617343], [18.974562957061206], [-70.61679739459834], [244.93481851039246], [166.19200700032764], [3.6648201447187274], [-34.66463790919994], [-133.36548087682684], [113.61857118622117], [265.824327105356], [129.25902324153935], [43.478408109375806], [65.37298115811501], [38.59961964644076], [11.605650195709323], [-23.657798662723902], [6.421242961075032], [34.276790333378806], [-16.855718394323947], [34.84319380444058], [57.56551040177327], [-2.7525493040288573], [48.74602541412972], [-31.725933388692834], [-60.05381615765556], [9.59120555265523], [2.7904544906444397], [42.48746471914787], [28.664145893632746], [11.16568211750111], [36.289001681226004], [29.001546896819516], [-0.06545179617541708], [47.21049606835818], [5.558380101609635], [24.85757823967529], [-18.63126522338275], [50.21463132442014], [-21.68534505413882], [-5.979872011758798], [-24.793556581943193], [10.142203750899206], [-6.948480175470277], [50.18939152645329], [-30.151129815804993], [-34.59449019649886], [13.076380162920092], [-9.800495321672214], [5.9094761774011655], [-1.0723677610425604], [-5.057354879110127], [50.67337853384704], [-34.085378244977754], [-1.4120394818808366], [9.866556692932459], [29.964020749764565], [-15.71471451896874], [5.940005332340263], [8.415465894665804], [-24.48403150945005], [33.24718719176642], [-18.19820763963853], [-19.631347084037078], [45.49483295689201], [24.033861165828597]]",2982.732038511467,3214.0096325461227
0.58,"[[150.5954488182746], [19.091226497645273], [-69.5256601998559], [243.20329648053325], [165.11222603076865], [4.018092526015686], [-33.88670679490629], [-132.75542288856622], [113.24500102272873], [263.8356986383671], [128.85265801894445], [42.97865838904608], [65.17099370198439], [38.598184247741656], [11.55067294726836], [-23.351614791650746], [6.28138758664516], [33.991231357422166], [-16.705343660488126], [34.811656819485904], [57.0380167417275], [-2.703591980053355], [48.43068653436432], [-31.55067510038463], [-59.59396570841125], [9.232161676873583], [2.702845786356091], [42.105768145115064], [28.52453210964483], [11.091304839791613], [35.897932404728074], [28.70495174149285], [-0.04635822602872541], [46.7452368846867], [5.5385110135323306], [24.68544198135711], [-18.42078369512569], [49.816771807180686], [-21.736099212208664], [-6.292905064087071], [-24.709485159253095], [10.154038858167198], [-6.8158808502303865], [50.085599309164714], [-29.980471849943008], [-34.52889258043625], [12.937911502064464], [-9.92678750390679], [5.846455167782111], [-0.7539352783770559], [-5.038261230619445], [50.216286483773004], [-33.68067934884899], [-1.3948735189339931], [9.828685637355267], [29.868140767488374], [-15.645131734025503], [5.382371409643098], [8.253769106318881], [-24.239664282813287], [33.01819107273977], [-18.297161684980814], [-19.366285188583703], [45.2683193716835], [23.987735877245846]]",2990.932159988127,3221.790346205166
0.59,"[[150.58647104437102], [19.20433753179067], [-68.45888066965747], [241.5014868333196], [164.0504610577712], [4.361596292665459], [-33.12690756319099], [-132.15147865913895], [112.87386590598025], [261.8829336379891], [128.44577109379563], [42.48758723950201], [64.96485545311974], [38.59127432553125], [11.495319977503442], [-23.052460689448488], [6.1434867550629235], [33.7130651558264], [-16.55641618287516], [34.779977196979246], [56.520089550832196], [-2.656257437061484], [48.118856518723504], [-31.379611068124177], [-59.14382751954952], [8.883755457290352], [2.6188161673891748], [41.73070063006519], [28.386121810406927], [11.019276973974824], [35.51585457846945], [28.41365310082031], [-0.029443180957692272], [46.28971594160819], [5.518313406465465], [24.514686240807606], [-18.213800569853156], [49.42767626986757], [-21.78350999898577], [-6.594930826967417], [-24.62552762418993], [10.163382608084103], [-6.685813945429463], [49.979836716372226], [-29.81418530692122], [-34.46208474700969], [12.80239424299399], [-10.04679986766753], [5.785326028027935], [-0.44477990405258083], [-5.018203668149205], [49.767918693431604], [-33.28646424613696], [-1.3810563879579023], [9.789850276694697], [29.771751904961413], [-15.574866015794887], [4.844486006556457], [8.096296695988894], [-24.000694063898983], [32.7910237533553], [-18.391908806385047], [-19.109354179036266], [45.045459442915856], [23.943027937072742]]",2999.0736107787484,3229.549851202394
0.6,"[[150.57743490090732], [19.313995558459112], [-67.41569905407933], [239.8285255040877], [163.0061820740407], [4.695663168870418], [-32.384678563033724], [-131.55355567560377], [112.50512725149449], [259.96494428512887], [128.0385463325645], [42.004989292225616], [64.75495528408885], [38.579199808853424], [11.439658385054418], [-22.760098310373117], [6.007567389824955], [33.44197048641519], [-16.40897869160401], [34.74811475293436], [56.011458949699914], [-2.610490821592995], [47.81048519817101], [-31.212572054997402], [-58.7030737401728], [8.545558572415182], [2.538140623382313], [41.362078054052446], [28.248897840970166], [10.949467867995713], [35.14244828906106], [28.12750776141137], [-0.014561729390347722], [45.84360743408128], [5.497819189610018], [24.345348716755876], [-18.01025132903332], [49.04697963739334], [-21.82771196519636], [-6.886421132801586], [-24.54169644909974], [10.170392207860703], [-6.5582402572574034], [49.8722539116485], [-29.65204957082618], [-34.39415179397182], [12.669698055217523], [-10.160839542922492], [5.726001466230674], [-0.14456106281638093], [-4.9972815752063635], [49.328003884789155], [-32.90229132287522], [-1.3703146381350084], [9.75016263914152], [29.67491977967998], [-15.50401109685883], [4.325446164604429], [7.942902162528176], [-23.766951599136696], [32.56572987170882], [-18.482635658277356], [-18.86015569444038], [44.8261393626219], [23.899615602107602]]",3007.157067416046,3237.287522882277
0.61,"[[150.56834410513184], [19.420296782387826], [-66.39538687641104], [238.18358448210054], [161.9788817204199], [5.020610211611956], [-31.659480562305127], [-130.9615626140195], [112.13874881220919], [258.08069004810056], [127.63115459603554], [41.530665075558105], [64.54165379859867], [38.56225219249519], [11.383749575686142], [-22.474300437176407], [5.873649334279819], [33.17764520792292], [-16.26306641485011], [34.71603440383478], [55.5118654887288], [-2.5662394580653096], [47.50552308583432], [-31.049397778199133], [-58.27139153711786], [8.217166193970048], [2.4606111998756264], [40.99972350306335], [28.112843596600452], [10.881755668065429], [34.777408974528214], [27.846378317099752], [-0.0015787973463674554], [45.40660066860572], [5.4770582820733775], [24.17746153172781], [-17.81007175116723], [48.67433869838834], [-21.868833831154603], [-7.16782161240895], [-24.458004320151446], [10.175214022313408], [-6.433119481076775], [49.762991030519224], [-29.493858763134526], [-34.325173491342696], [12.53970197793987], [-10.269195428938076], [5.668399278779296], [0.14704536908362975], [-4.975585792137266], [48.89628295261606], [-32.52774488045243], [-1.3623969354962835], [9.709725180729722], [29.577705532893134], [-15.432653172288209], [3.8244022626598904], [7.7934456677179345], [-23.53827426335607], [32.34234705137482], [-18.569517929561435], [-18.618317342809206], [44.610250515321326], [23.857387323341513]]",3015.183199096366,3245.0027810848774
